Country Group,ISO,indicator code,Country,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY
Emerging Africa ,GMB,NGDPPC,The Gambia,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",38656,38576,42330,47747,2018.0
Emerging Africa ,GMB,NGDPDPC,The Gambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",769,748,821,842,2018.0
Emerging Africa ,GMB,PPPEX,The Gambia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",17,17,17,18,2021.0
Emerging Africa ,GMB,NID_NGDP,The Gambia,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Gambian dalasi Data last updated: 08/2023,20,20,22,23,2021.0
Emerging Africa ,GMB,PCPIPCH,The Gambia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7,6,7,12,2022.0
Emerging Africa ,GMB,LP,The Gambia,Population,Persons,Millions,Source: International Financial Institution. Human Development Indicators Latest actual data: 2018 Primary domestic currency: Gambian dalasi Data last updated: 08/2023,2,2,2,3,2018.0
Emerging Africa ,GHA,NGDPPC,Ghana,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",11819,12734,14706,19021,2022.0
Emerging Africa ,GHA,NGDPDPC,Ghana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2266,2275,2535,2252,2022.0
Emerging Africa ,GHA,PPPEX,Ghana,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",2,2,2,3,2022.0
Emerging Africa ,GHA,NID_NGDP,Ghana,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Ghanaian cedi Data last updated: 09/2023,19,18,17,16,2022.0
Emerging Africa ,GHA,PCPIPCH,Ghana,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7,10,10,32,2022.0
Emerging Africa ,GIN,NGDPDPC,Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",987,1009,1106,1384,2014.0
Emerging Africa ,GIN,PPPEX,Guinea,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",3614,3719,3888,3977,2021.0
Emerging Africa ,GIN,NID_NGDP,Guinea,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021. No quarterly data produced Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Guinean franc Data last updated: 09/2023,17,17,18,17,2021.0
Emerging Africa ,GIN,PCPIPCH,Guinea,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9,11,13,11,2022.0
Emerging Africa ,GIN,LP,Guinea,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2014 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. Primary domestic currency: Guinean franc Data last updated: 09/2023,14,14,14,15,2014.0
Emerging Africa ,GNB,NGDPPC,Guinea-Bissau,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",490360,482131,515497,563824,2017.0
Emerging Africa ,GNB,NGDPDPC,Guinea-Bissau,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",837,839,930,906,2017.0
Emerging Africa ,GNB,PPPEX,Guinea-Bissau,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",201,197,193,194,2021.0
Emerging Africa ,MDG,LP,Madagascar,Population,Persons,Millions,"Source: UN, World Bank, and National Statistical Office Latest actual data: 2018 Notes: In 2021 were published latest Madagascar Population Census data that took place in 2018. Primary domestic currency: Malagasy ariary Data last updated: 09/2023",27,27,28,29,2018.0
Emerging Africa ,GNB,NID_NGDP,Guinea-Bissau,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 Notes: Data prior to 1997 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2023,16,18,18,18,2021.0
Emerging Africa ,GNB,PCPIPCH,Guinea-Bissau,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",0,1,3,8,2022.0
Emerging Africa ,GNB,LP,Guinea-Bissau,Population,Persons,Millions,Source: International Financial Institution. Human Development Indicators. Latest actual data: 2017 Primary domestic currency: CFA franc Data last updated: 08/2023,2,2,2,2,2017.0
Emerging Africa ,KEN,NGDPPC,Kenya,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",215078,219563,241778,263988,2019.0
Emerging Africa ,KEN,NGDPDPC,Kenya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2108,2068,2209,2245,2019.0
Emerging Africa ,KEN,PPPEX,Kenya,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",42,43,43,43,2022.0
Emerging Africa ,MLI,NGDPDPC,Mali,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",840,831,903,847,2022.0
Emerging Africa ,KEN,NID_NGDP,Kenya,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Kenyan shilling Data last updated: 09/2023,19,20,20,19,2022.0
Emerging Africa ,KEN,LP,Kenya,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2019 Notes: National Statistical Office. Series from January 1998 to October 2005 was adjusted in line with methodology reported in the 2011 Article IV Staff Report Primary domestic currency: Kenyan shilling Data last updated: 09/2023,48,49,50,51,2019.0
Emerging Africa ,LSO,NGDPPC,Lesotho,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",17143,16931,18105,19794,2016.0
Emerging Africa ,LSO,NGDPDPC,Lesotho,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1159,1035,1219,1166,2016.0
Emerging Africa ,LSO,PPPEX,Lesotho,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",6,6,6,6,2021.0
Emerging Africa ,LSO,NID_NGDP,Lesotho,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: FY2020/21. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) =0.75* CY(t)+0.25CY(t+1) Notes: The national accounts real values have been updated from 2015 onwards. Prior to 2015 the data has been adjusted to produce smooth series with the use of splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No Start/end months of reporting year: April/March Base year: FY2012/13 Chain-weighted: No Primary domestic currency: Lesotho loti Data last updated: 08/2023,25,28,23,23,2021.0
Emerging Africa ,LSO,PCPIPCH,Lesotho,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5,5,6,8,2021.0
Emerging Africa ,LSO,LP,Lesotho,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2016 Primary domestic currency: Lesotho loti Data last updated: 08/2023,2,2,2,2,2016.0
Emerging Africa ,LBR,NGDPPC,Liberia,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",624,600,677,749,2020.0
Emerging Africa ,LBR,NGDPDPC,Liberia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",624,600,677,749,2020.0
Emerging Africa ,LBR,PPPEX,Liberia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",0,0,0,0,2021.0
Emerging Africa ,LBR,NID_NGDP,Liberia,Total investment,Percent of GDP,,,0,0,0,0,
Emerging Africa ,LBR,PCPIPCH,Liberia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",27,17,8,8,2021.0
Emerging Africa ,LBR,LP,Liberia,Population,Persons,Millions,"Source: National Statistics Office. Publish growth rate from 2000 only, no data prior to 1999 due to civil war in the country. Latest actual data: 2020 Primary domestic currency: US dollar Data last updated: 09/2023",5,5,5,5,2020.0
Emerging Africa ,MDG,NGDPPC,Madagascar,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1924042,1808180,1978295,2142615,2018.0
Emerging Africa ,MDG,NGDPDPC,Madagascar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",532,477,517,523,2018.0
Emerging Africa ,MDG,PPPEX,Madagascar,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1122,1155,1179,1179,2022.0
Emerging Africa ,MDG,NID_NGDP,Madagascar,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022. 2020 and 2021 are preliminary data National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Malagasy ariary Data last updated: 09/2023,23,18,15,21,2022.0
